qid	model	doc_per_query	nDCG	time
309	200x100x100x50	281	0.20160441	0.00254924043
310	200x100x100x50	169	0.32027784	0.0015250847300000002
311	200x100x100x50	68	0.76666206	0.0010625408000000001
312	200x100x100x50	65	0.47756377	0.001025687
313	200x100x100x50	138	0.6391981	0.0015623394000000004
314	200x100x100x50	77	0.4329243	0.0010247391
315	200x100x100x50	125	0.75191087	0.0010459900000000001
316	200x100x100x50	57	0.69035816	0.0005610173700000001
317	200x100x100x50	59	0.9259123	0.0005657350700000001
318	200x100x100x50	146	0.46021894	0.0015183416
319	200x100x100x50	130	0.7524642	0.001518764
320	200x100x100x50	93	0.7277907	0.0010470963
321	200x100x100x50	246	0.20624316	0.0020873124600000004
322	200x100x100x50	104	1.0	0.00102124256
323	200x100x100x50	156	0.7608136	0.0015711228000000002
324	200x100x100x50	114	0.806458	0.0010634797800000001
325	200x100x100x50	249	0.5804029	0.0020518845
326	200x100x100x50	81	0.498905	0.0010660410000000002
327	200x100x100x50	41	0.1815418	0.0005637705000000001
328	200x100x100x50	106	0.24702008	0.00103471476
329	200x100x100x50	113	0.39181963	0.0010684421200000001
330	200x100x100x50	131	0.42076448	0.0015419355
331	200x100x100x50	70	0.68928695	0.001036147
332	200x100x100x50	52	0.38364914	0.0005390060000000001
333	200x100x100x50	173	0.38210192	0.0015592403500000003
334	200x100x100x50	71	0.2836158	0.0010507148000000002
335	200x100x100x50	73	0.8394083	0.0010243652
336	200x100x100x50	70	0.24977817	0.0010290350000000002
337	200x100x100x50	57	0.7091144	0.00055843755
338	200x100x100x50	163	0.4120262	0.00154954972
339	200x100x100x50	42	0.8560429	0.0005537112
340	200x100x100x50	226	0.6004039	0.00211422322
341	200x100x100x50	73	0.58155113	0.0010337165
342	200x100x100x50	163	0.21446715	0.0015678399500000002
343	200x100x100x50	190	0.7453191	0.0015623719000000002
344	200x100x100x50	58	0.883792	0.0005378026800000001
345	200x100x100x50	46	0.74799365	0.0005639508000000001
346	200x100x100x50	92	0.8386374	0.0010382108
347	200x100x100x50	56	1.0	0.0005400399200000001
348	200x100x100x50	326	0.39088225	0.00305745946
349	200x100x100x50	72	1.0	0.0010416672
350	200x100x100x50	38	0.74217194	0.0005680468000000001
351	200x100x100x50	126	0.24238227	0.00103072284
352	200x100x100x50	178	0.32247862	0.00157326012
353	200x100x100x50	71	0.7856692	0.0010357977
354	200x100x100x50	118	0.47869647	0.00104297722
355	200x100x100x50	122	0.54926234	0.0010409198600000002
356	200x100x100x50	177	0.015377293	0.00156238254
357	200x100x100x50	131	0.27948567	0.0015540268
358	200x100x100x50	25	0.87970674	0.0005759200000000001
359	200x100x100x50	105	0.0	0.00102806235
360	200x100x100x50	84	0.747272	0.0010375848
361	200x100x100x50	97	0.4002477	0.0010389864000000001
362	200x100x100x50	87	0.65399545	0.0010509339
363	200x100x100x50	49	0.19868323	0.0005531316000000001
364	200x100x100x50	80	0.5227383	0.001020576
365	200x100x100x50	87	0.623731	0.0010997496000000001
366	200x100x100x50	107	0.7573622	0.00102253801
367	200x100x100x50	124	0.7860734	0.00101691532
368	200x100x100x50	92	0.74915516	0.0010674024
369	200x100x100x50	56	0.6448245	0.0005561752000000001
370	200x100x100x50	166	0.49063253	0.0015329917400000001
371	200x100x100x50	134	0.66551334	0.0015557400000000003
372	200x100x100x50	86	0.7990285	0.00104275
373	200x100x100x50	484	0.6541745	0.004161228720000001
374	200x100x100x50	92	0.44270808	0.0010504008000000002
