qid	model	docs_per_query	nDCG	avg_time_doc (sec)	avg_energy_doc (joules)	time	energy
324	878_64	114	0.8117753	1.50355e-05	0.00089426	0.001714047	0.10194564
325	878_64	249	0.52108884	1.50355e-05	0.00089426	0.0037438395	0.22267074
326	878_64	81	0.48623586	1.50355e-05	0.00089426	0.0012178755	0.07243506
327	878_64	41	0.20210735	1.50355e-05	0.00089426	0.0006164555	0.03666466
328	878_64	106	0.32251346	1.50355e-05	0.00089426	0.001593763	0.09479156
329	878_64	113	0.4504824	1.50355e-05	0.00089426	0.0016990115	0.10105138
330	878_64	131	0.36163706	1.50355e-05	0.00089426	0.0019696505	0.11714806
331	878_64	70	0.69825494	1.50355e-05	0.00089426	0.001052485	0.0625982
332	878_64	52	0.4776237	1.50355e-05	0.00089426	0.000781846	0.04650152
333	878_64	173	0.4599964	1.50355e-05	0.00089426	0.0026011415	0.15470698
334	878_64	71	0.3104979	1.50355e-05	0.00089426	0.0010675205	0.06349246
335	878_64	73	0.78759956	1.50355e-05	0.00089426	0.0010975915	0.06528098
336	878_64	70	0.40774998	1.50355e-05	0.00089426	0.001052485	0.0625982
337	878_64	57	0.7091144	1.50355e-05	0.00089426	0.0008570235	0.05097282
338	878_64	163	0.51776206	1.50355e-05	0.00089426	0.0024507865	0.14576438
339	878_64	42	0.7777733	1.50355e-05	0.00089426	0.000631491	0.03755892
340	878_64	226	0.6834544	1.50355e-05	0.00089426	0.003398023	0.20210276
341	878_64	73	0.58214825	1.50355e-05	0.00089426	0.0010975915	0.06528098
